Operation,operation: instance,CreativeStrategy (Class),Transformative_Work,Transformative_Work_URI,Original_Work,Original_Work_URI,SourceElement,TargetElement,NarrativeElement (Class),Rationale_Annotation
11,Op_The_Three_Body_Problem_to_ThreeBodyX_WorldInheritance,Inheritance,ThreeBodyX,https://baike.baidu.com/item/三体X·观想之宙/7656426,The Three-Body Problem,https://www.wikidata.org/wiki/Q607112,Three_Body_Cosmology,Three_Body_Cosmology,WorldRules,"The physics, cosmology, and world-building of the Three-Body universe are inherited directly from the source."
11,Op_The_Three_Body_Problem_to_ThreeBodyX_CharacterImitation,Imitation,ThreeBodyX,https://baike.baidu.com/item/三体X·观想之宙/7656426,The Three-Body Problem,https://www.wikidata.org/wiki/Q607112,Canon_Characters_Yun_Tianming,Canon_Characters_Yun_Tianming,CharacterIdentity,Canonical characters such as Yun Tianming are reused to suture the continuation to the parent text.
12,Op_Odyssey_to_Ulysses_SettingTransposition,Transformation,Ulysses,https://www.wikidata.org/wiki/Q6511,Odyssey,https://www.wikidata.org/wiki/Q35160,Ancient_Mediterranean_Decade,Single_Day_Modern_Dublin,Chronotope,A decade-spanning ancient epic is compressed onto a single ordinary day in modern Dublin.
12,Op_Odyssey_to_Ulysses_FocalizationShift,Transformation,Ulysses,https://www.wikidata.org/wiki/Q6511,Odyssey,https://www.wikidata.org/wiki/Q35160,External_Heroic_Narration,Interior_Stream_of_Consciousness,Focalization,Narration shifts from external heroic deeds to interior stream-of-consciousness.
12,Op_Odyssey_to_Ulysses_CrossMediaTransformation,Transformation,Ulysses,https://www.wikidata.org/wiki/Q6511,Odyssey,https://www.wikidata.org/wiki/Q35160,Epic_Poem,Modernist_Novel,MediumType,The classical epic poem is transformed into a modernist prose novel.
12,Op_Odyssey_to_Ulysses_StructuralInheritance,Inheritance,Ulysses,https://www.wikidata.org/wiki/Q6511,Odyssey,https://www.wikidata.org/wiki/Q35160,Homeric_Episode_Structure,Homeric_Episode_Structure,EventSequence,The episodic skeleton of the Homeric source is inherited as a metaphorical scaffold mapping each chapter to an episode.
12,Op_Odyssey_to_Ulysses_HeroImitation,Imitation,Ulysses,https://www.wikidata.org/wiki/Q6511,Odyssey,https://www.wikidata.org/wiki/Q35160,Hero_Odysseus,Everyman_Leopold_Bloom,CharacterIdentity,"The hero Odysseus is reimagined as the everyman Leopold Bloom, an imitative mapping of prototype onto modern figure."
13,Op_Romeo_and_Juliet_to_West_Side_Story_SettingTransposition,Transformation,West Side Story,https://www.wikidata.org/wiki/Q669010,Romeo and Juliet,https://www.wikidata.org/wiki/Q83186,Renaissance_Verona_Feud,1950s_New_York_Gang_Conflict,Chronotope,"The setting is transposed from Renaissance Verona to 1950s New York, recasting aristocratic feud as urban racial and gang conflict."
13,Op_Romeo_and_Juliet_to_West_Side_Story_CrossMediaTransformation,Transformation,West Side Story,https://www.wikidata.org/wiki/Q669010,Romeo and Juliet,https://www.wikidata.org/wiki/Q83186,Verse_Tragedy,Musical,MediumType,The verse tragedy is transformed into a song-and-dance musical.
13,Op_Romeo_and_Juliet_to_West_Side_Story_RelationTopologyInheritance,Inheritance,West Side Story,https://www.wikidata.org/wiki/Q669010,Romeo and Juliet,https://www.wikidata.org/wiki/Q83186,Lovers_Between_Feuding_Factions,Lovers_Between_Feuding_Factions,RelationTopology,"The core relational topology -- two lovers caught between two feuding factions, ending in tragedy -- is inherited from the source."
13,Op_Romeo_and_Juliet_to_West_Side_Story_LoversImitation,Imitation,West Side Story,https://www.wikidata.org/wiki/Q669010,Romeo and Juliet,https://www.wikidata.org/wiki/Q83186,Romeo_and_Juliet,Tony_and_Maria,CharacterIdentity,The lovers Romeo and Juliet are reused as prototypes for Tony and Maria.
14,Op_Emma_to_Clueless_SettingTransposition,Transformation,Clueless,https://www.wikidata.org/wiki/Q931165,Emma,https://www.wikidata.org/wiki/Q223880,Regency_Gentry,1990s_Beverly_Hills_High_School,Chronotope,The Regency gentry's matchmaking and class hierarchy is mapped onto a 1990s Beverly Hills high school.
14,Op_Emma_to_Clueless_CrossMediaTransformation,Transformation,Clueless,https://www.wikidata.org/wiki/Q931165,Emma,https://www.wikidata.org/wiki/Q223880,Novel,Film,MediumType,The source novel is adapted into a feature film.
14,Op_Emma_to_Clueless_PlotInheritance,Inheritance,Clueless,https://www.wikidata.org/wiki/Q931165,Emma,https://www.wikidata.org/wiki/Q223880,Matchmaker_Plot_and_Dynamics,Matchmaker_Plot_and_Dynamics,EventSequence,The matchmaking plot and its interpersonal power dynamics are inherited and shown to still operate in a modern microcosm.
14,Op_Emma_to_Clueless_HeroineImitation,Imitation,Clueless,https://www.wikidata.org/wiki/Q931165,Emma,https://www.wikidata.org/wiki/Q223880,Emma_Woodhouse,Cher_Horowitz,CharacterIdentity,The heroine Emma Woodhouse is reused as the prototype for Cher Horowitz.
15,Op_Dracula_to_Nosferatu_CrossMediaTransformation,Transformation,Nosferatu,https://www.wikidata.org/wiki/Q151895,Dracula,https://www.wikidata.org/wiki/Q41542,Epistolary_Novel,Silent_Expressionist_Film,MediumType,The epistolary novel is transformed into a silent expressionist film whose Gothic amplification shaped later vampire visual conventions.
15,Op_Dracula_to_Nosferatu_CharacterImitation,Imitation,Nosferatu,https://www.wikidata.org/wiki/Q151895,Dracula,https://www.wikidata.org/wiki/Q41542,Count_Dracula,Count_Orlok,CharacterIdentity,"Lacking authorization, the film files off the source's names -- renaming Dracula as Count Orlok -- while reusing the underlying vampire prototype."
15,Op_Dracula_to_Nosferatu_PlotInheritance,Inheritance,Nosferatu,https://www.wikidata.org/wiki/Q151895,Dracula,https://www.wikidata.org/wiki/Q41542,Vampire_Relocation_and_Plague,Vampire_Relocation_and_Plague,EventSequence,The core plot -- a vampire's relocation and the predatory plague he spreads -- is inherited from the source.
16,Op_Jin_Yong_Universe_to_The_Here_and_Now_Youth_SettingTransposition,Transformation,The Here and Now Youth,https://zh.wikipedia.org/wiki/此间的少年,Jin Yong universe,https://www.wikidata.org/wiki/Q180626,Wuxia_Jianghu,Modern_University_Campus,Chronotope,"The famous wuxia characters are extracted from the jianghu and relocated into a modern university campus, pioneering the 'characters-in-a-new-context' fan fiction model."
16,Op_Jin_Yong_Universe_to_The_Here_and_Now_Youth_ContentDomainShift,Transformation,The Here and Now Youth,https://zh.wikipedia.org/wiki/此间的少年,Jin Yong universe,https://www.wikidata.org/wiki/Q180626,Martial_Heroism,Campus_Youth_Life,ContentDomain,The content domain shifts from martial heroism to everyday campus youth and friendship.
16,Op_Jin_Yong_Universe_to_The_Here_and_Now_Youth_CharacterImitation,Imitation,The Here and Now Youth,https://zh.wikipedia.org/wiki/此间的少年,Jin Yong universe,https://www.wikidata.org/wiki/Q180626,Jin_Yong_Hero_Roster,Campus_Student_Roster,CharacterIdentity,"Jin Yong's characters (Guo Jing, Huang Rong, Linghu Chong, and others) are reused as prototypes for the campus cast."
16,Op_Jin_Yong_Universe_to_The_Here_and_Now_Youth_RelationInheritance,Inheritance,The Here and Now Youth,https://zh.wikipedia.org/wiki/此间的少年,Jin Yong universe,https://www.wikidata.org/wiki/Q180626,Character_Relationship_Web,Character_Relationship_Web,RelationTopology,The web of relationships among the original characters is transposed largely intact into the new setting.
17,Op_Investiture_of_the_Gods_to_KamigamiNoJonin_CrossMediaTransformation,Transformation,KamigamiNoJonin,https://ja.wikipedia.org/wiki/封神演義_(漫画),Investiture of the Gods,https://www.wikidata.org/wiki/Q1336310,Vernacular_Novel,Manga,MediumType,"The chapter-based mythological novel is reimagined as manga, a transformation influential enough to turn the classical Fengshen IP into a modern repository of fan-creative material."
17,Op_Investiture_of_the_Gods_to_KamigamiNoJonin_AlignmentReinterpretation,Transformation,KamigamiNoJonin,https://ja.wikipedia.org/wiki/封神演義_(漫画),Investiture of the Gods,https://www.wikidata.org/wiki/Q1336310,Fixed_Deity_Alignments,Reinterpreted_Roles_and_Motives,CharacterFunction,"The fixed moral alignments of the deities are reinterpreted, recasting roles and motivations across the ensemble."
17,Op_Investiture_of_the_Gods_to_KamigamiNoJonin_WorldInheritance,Inheritance,KamigamiNoJonin,https://ja.wikipedia.org/wiki/封神演義_(漫画),Investiture of the Gods,https://www.wikidata.org/wiki/Q1336310,Fengshen_Mythos,Fengshen_Mythos,WorldRules,The mythological cosmology of the source is inherited as the world framework.
17,Op_Investiture_of_the_Gods_to_KamigamiNoJonin_DeityImitation,Imitation,KamigamiNoJonin,https://ja.wikipedia.org/wiki/封神演義_(漫画),Investiture of the Gods,https://www.wikidata.org/wiki/Q1336310,Fengshen_Deity_Roster,Fengshen_Deity_Roster,CharacterIdentity,"The deities and immortals of the source, led by Taigong Wang, are reused as the manga's cast."
18,Op_Li_Bai_Poem_to_Jin_Yong_Novel_PlotDeviceReuse,Imitation,Jin Yong Novel Xiake Xing,https://www.wikidata.org/wiki/Q835716,Li Bai Poem Xiake Xing,https://zh.wikipedia.org/wiki/侠客行_(诗),Poem_Text,Martial_Arts_Manual_Puzzle,EventSequence,"The verses of Li Bai's poem are reused as the central plot device: martial masters study the text hoping to unlock a legendary skill, yet only an illiterate protagonist grasps its true essence."
18,Op_Li_Bai_Poem_to_Jin_Yong_Novel_CrossMediaExpansion,Transformation,Jin Yong Novel Xiake Xing,https://www.wikidata.org/wiki/Q835716,Li Bai Poem Xiake Xing,https://zh.wikipedia.org/wiki/侠客行_(诗),Classical_Poem,Full_Length_Wuxia_Novel,MediumType,A short classical poem is expanded across media into a full-length wuxia novel that interrogates what it means to be truly chivalrous.
18,Op_Li_Bai_Poem_to_Jin_Yong_Novel_ChivalricSpiritInheritance,Inheritance,Jin Yong Novel Xiake Xing,https://www.wikidata.org/wiki/Q835716,Li Bai Poem Xiake Xing,https://zh.wikipedia.org/wiki/侠客行_(诗),Chivalric_Ethos,Chivalric_Ethos,ContentDomain,The chivalrous spirit and ethos defined by the source poem are inherited -- a relationship of spiritual continuity across literary forms.
